,date,state,indians,foreigns,cured,deaths,confirmed
132,2020-03-13,8,6,0,0,1,6
133,2020-03-13,9,14,0,0,0,14
134,2020-03-13,12,1,0,0,0,1
135,2020-03-14,2,7,0,1,1,7
136,2020-03-14,5,0,14,0,0,14
137,2020-03-14,0,19,0,3,0,19
138,2020-03-14,3,1,2,1,0,3
139,2020-03-14,1,1,0,0,0,1
140,2020-03-14,4,11,1,5,0,12
141,2020-03-14,6,3,0,0,0,3
142,2020-03-14,7,1,0,0,0,1
143,2020-03-14,11,2,0,0,0,2
144,2020-03-14,10,1,0,0,0,1
145,2020-03-14,8,6,0,0,1,6
146,2020-03-14,9,14,0,0,0,14
147,2020-03-14,12,1,0,0,0,1
148,2020-03-15,12,1,0,0,0,1
149,2020-03-15,2,7,0,2,1,7
150,2020-03-15,5,0,14,0,0,14
151,2020-03-15,8,6,0,0,1,6
152,2020-03-15,0,22,0,3,0,22
153,2020-03-15,9,32,0,0,0,32
154,2020-03-15,10,1,0,0,0,1
155,2020-03-15,3,2,2,3,0,4
156,2020-03-15,7,1,0,0,0,1
157,2020-03-15,1,3,0,1,0,3
158,2020-03-15,11,2,0,0,0,2
159,2020-03-15,6,3,0,0,0,3
160,2020-03-15,4,12,1,4,0,13
161,2020-03-15,13,1,0,0,0,1
162,2020-03-16,12,1,0,0,0,1
163,2020-03-16,2,7,0,2,1,7
164,2020-03-16,5,0,14,0,0,14
165,2020-03-16,8,6,0,0,1,6
166,2020-03-16,0,23,0,3,0,23
167,2020-03-16,9,32,0,0,0,32
168,2020-03-16,14,1,0,0,0,1
169,2020-03-16,10,1,0,0,0,1
170,2020-03-16,3,2,2,3,0,4
171,2020-03-16,7,1,0,0,0,1
172,2020-03-16,1,3,0,1,0,3
173,2020-03-16,11,3,0,0,0,3
174,2020-03-16,6,4,0,0,0,4
175,2020-03-16,4,12,1,4,0,13
176,2020-03-16,13,1,0,0,0,1
177,2020-03-17,12,1,0,0,0,1
178,2020-03-17,2,8,0,2,1,8
179,2020-03-17,5,1,14,0,0,15
180,2020-03-17,8,11,0,0,1,11
181,2020-03-17,0,24,2,3,0,26
182,2020-03-17,9,36,3,0,1,39
183,2020-03-17,14,1,0,0,0,1
184,2020-03-17,10,1,0,0,0,1
185,2020-03-17,3,2,2,3,0,4
186,2020-03-17,7,1,0,0,0,1
187,2020-03-17,1,3,2,1,0,5
188,2020-03-17,11,3,0,0,0,3
189,2020-03-17,6,6,0,0,0,6
190,2020-03-17,4,14,1,5,0,15
191,2020-03-17,13,1,0,0,0,1
192,2020-03-18,12,1,0,0,0,1
193,2020-03-18,2,9,1,2,1,10
194,2020-03-18,5,3,14,0,0,17
195,2020-03-18,8,11,0,0,1,11
196,2020-03-18,0,25,2,3,0,27
197,2020-03-18,9,39,3,0,1,42
198,2020-03-18,14,1,0,0,0,1
199,2020-03-18,15,1,0,0,0,1
200,2020-03-18,10,1,0,0,0,1
201,2020-03-18,3,2,2,3,0,4
202,2020-03-18,7,1,0,0,0,1
203,2020-03-18,1,4,2,1,0,6
204,2020-03-18,11,3,0,0,0,3
205,2020-03-18,6,8,0,0,0,8
206,2020-03-18,4,15,1,5,0,16
207,2020-03-18,13,1,0,0,0,1
208,2020-03-18,16,1,0,0,0,1
209,2020-03-19,12,2,0,0,0,2
210,2020-03-19,17,1,0,0,0,1
211,2020-03-19,2,11,1,3,1,12
212,2020-03-19,5,3,14,0,0,17
213,2020-03-19,8,14,0,0,1,14
214,2020-03-19,0,25,2,3,0,27
215,2020-03-19,9,44,3,0,1,47
216,2020-03-19,14,1,0,0,0,1
217,2020-03-19,15,1,0,0,0,1
218,2020-03-19,10,2,0,0,1,2
219,2020-03-19,3,5,2,3,0,7
220,2020-03-19,7,2,0,1,0,2
221,2020-03-19,1,4,2,1,0,6
222,2020-03-19,18,1,0,0,0,1
223,2020-03-19,11,4,0,0,0,4
224,2020-03-19,6,8,0,0,0,8
225,2020-03-19,4,18,1,9,0,19
226,2020-03-19,13,1,0,0,0,1
227,2020-03-19,16,1,0,0,0,1
